2025-06-20 18:34:08,061 | INFO     | faiss.loader:148 | Loading faiss.
2025-06-20 18:34:08,070 | INFO     | faiss.loader:150 | Successfully loaded faiss.
2025-06-20 18:34:08,072 | INFO     | faiss:174 | Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes. This is only an error if you're trying to use GPU Faiss.
2025-06-20 18:34:12,110 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:12,137 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.3033 (threshold: 0.4)
2025-06-20 18:34:12,200 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,230 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,296 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,328 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:12,347 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.3032 (threshold: 0.4)
2025-06-20 18:34:12,400 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,433 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,464 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,497 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,530 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,562 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,595 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,632 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,695 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,726 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,760 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,826 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,859 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,896 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,929 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,963 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:12,994 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:13,027 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:13,097 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:13,130 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:13,163 | INFO     | core.recognition_system:218 | Valid detections above threshold: 3/896
2025-06-20 18:34:13,183 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2570 (threshold: 0.4)
2025-06-20 18:34:13,227 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:13,246 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2662 (threshold: 0.4)
2025-06-20 18:34:13,296 | INFO     | core.recognition_system:218 | Valid detections above threshold: 3/896
2025-06-20 18:34:13,317 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2744 (threshold: 0.4)
2025-06-20 18:34:13,363 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:13,383 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2484 (threshold: 0.4)
2025-06-20 18:34:13,428 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:13,448 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2191 (threshold: 0.4)
2025-06-20 18:34:13,497 | INFO     | core.recognition_system:218 | Valid detections above threshold: 4/896
2025-06-20 18:34:13,518 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2610 (threshold: 0.4)
2025-06-20 18:34:13,562 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:13,582 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.1940 (threshold: 0.4)
2025-06-20 18:34:13,628 | INFO     | core.recognition_system:218 | Valid detections above threshold: 3/896
2025-06-20 18:34:13,648 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.1974 (threshold: 0.4)
2025-06-20 18:34:13,696 | INFO     | core.recognition_system:218 | Valid detections above threshold: 3/896
2025-06-20 18:34:13,717 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.3059 (threshold: 0.4)
2025-06-20 18:34:13,762 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:13,782 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.3266 (threshold: 0.4)
2025-06-20 18:34:13,829 | INFO     | core.recognition_system:218 | Valid detections above threshold: 3/896
2025-06-20 18:34:13,849 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.4172 (threshold: 0.4)
2025-06-20 18:34:13,850 | INFO     | core.recognition_system:290 | Face recognized as: KOTHA KIRAN (unique_id: 019744e8-3189-70e0-ad79-b37117e83a1c, similarity: 0.4172)
2025-06-20 18:34:13,896 | INFO     | core.recognition_system:218 | Valid detections above threshold: 3/896
2025-06-20 18:34:13,916 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.4583 (threshold: 0.4)
2025-06-20 18:34:13,916 | INFO     | core.recognition_system:290 | Face recognized as: KOTHA KIRAN (unique_id: 019744e8-3189-70e0-ad79-b37117e83a1c, similarity: 0.4583)
2025-06-20 18:34:13,961 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:13,981 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.4677 (threshold: 0.4)
2025-06-20 18:34:13,982 | INFO     | core.recognition_system:290 | Face recognized as: KOTHA KIRAN (unique_id: 019744e8-3189-70e0-ad79-b37117e83a1c, similarity: 0.4677)
2025-06-20 18:34:14,028 | INFO     | core.recognition_system:218 | Valid detections above threshold: 3/896
2025-06-20 18:34:14,047 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.4720 (threshold: 0.4)
2025-06-20 18:34:14,048 | INFO     | core.recognition_system:290 | Face recognized as: KOTHA KIRAN (unique_id: 019744e8-3189-70e0-ad79-b37117e83a1c, similarity: 0.4720)
2025-06-20 18:34:14,096 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:14,116 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.4314 (threshold: 0.4)
2025-06-20 18:34:14,117 | INFO     | core.recognition_system:290 | Face recognized as: KOTHA KIRAN (unique_id: 019744e8-3189-70e0-ad79-b37117e83a1c, similarity: 0.4314)
2025-06-20 18:34:14,163 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:14,183 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.3961 (threshold: 0.4)
2025-06-20 18:34:14,227 | INFO     | core.recognition_system:218 | Valid detections above threshold: 4/896
2025-06-20 18:34:14,247 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.4465 (threshold: 0.4)
2025-06-20 18:34:14,248 | INFO     | core.recognition_system:290 | Face recognized as: KOTHA KIRAN (unique_id: 019744e8-3189-70e0-ad79-b37117e83a1c, similarity: 0.4465)
2025-06-20 18:34:14,296 | INFO     | core.recognition_system:218 | Valid detections above threshold: 4/896
2025-06-20 18:34:14,317 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.4554 (threshold: 0.4)
2025-06-20 18:34:14,317 | INFO     | core.recognition_system:290 | Face recognized as: KOTHA KIRAN (unique_id: 019744e8-3189-70e0-ad79-b37117e83a1c, similarity: 0.4554)
2025-06-20 18:34:14,361 | INFO     | core.recognition_system:218 | Valid detections above threshold: 4/896
2025-06-20 18:34:14,381 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.4436 (threshold: 0.4)
2025-06-20 18:34:14,381 | INFO     | core.recognition_system:290 | Face recognized as: KOTHA KIRAN (unique_id: 019744e8-3189-70e0-ad79-b37117e83a1c, similarity: 0.4436)
2025-06-20 18:34:14,428 | INFO     | core.recognition_system:218 | Valid detections above threshold: 4/896
2025-06-20 18:34:14,448 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.4584 (threshold: 0.4)
2025-06-20 18:34:14,449 | INFO     | core.recognition_system:290 | Face recognized as: KOTHA KIRAN (unique_id: 019744e8-3189-70e0-ad79-b37117e83a1c, similarity: 0.4584)
2025-06-20 18:34:14,497 | INFO     | core.recognition_system:218 | Valid detections above threshold: 3/896
2025-06-20 18:34:14,517 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.4034 (threshold: 0.4)
2025-06-20 18:34:14,518 | INFO     | core.recognition_system:290 | Face recognized as: KOTHA KIRAN (unique_id: 019744e8-3189-70e0-ad79-b37117e83a1c, similarity: 0.4034)
